DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_017E72834BC6A481B9D2E7B57B15158A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000001000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.14.18, Duration=254.064453, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_33, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_017E72834BC6A481B9D2E7B57B15158A_0__5A7547AAA9ECD61A0652042C7F2D255FA159612C, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=2097412, Duration=5.226851, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_34, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_017E72834BC6A481B9D2E7B57B15158A_0__809C05BF7D54D95E76E9B7AFEC7BF80F33A0EE25, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=524547, Duration=0.560392, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_35, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_017E72834BC6A481B9D2E7B57B15158A_0__A72CC90F41B785A461BB7C4B4E1E78C407F08EDF, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=131330, Duration=0.149701, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_36, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_017E72834BC6A481B9D2E7B57B15158A_0__2D8DBB3B6CD1CF3FA4F8B46C1638A02CA76B7F0D, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=33026, Duration=0.053052, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_37, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_017E72834BC6A481B9D2E7B57B15158A_0__2D4008767E306F2A0B61CCF0E87F1A7CDC6B7849, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=8449, Duration=0.033014, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_38, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_017E72834BC6A481B9D2E7B57B15158A_0__795B37AA31B7CA81DD71B75F5245AE668B61FB0B, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=4702, Duration=0.028770, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_11, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.14.19, Duration=0.850119, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_39, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__79AB56B57296E31CDFFE8867020509D14A699B71, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=16644, Duration=0.067934, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_40, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__66191627C7E8A6B05447BCF1CE20A881815777A9, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=8452, Duration=0.523705, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_41, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__3CE5BB905F1CC7D022240CF4A01B36E9E7C46A6B, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=4356, Duration=0.047076, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_42, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__7DAF3DF355D8ACA90C304E71CC15E2C8EEEC3DAF, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=2307, Duration=0.039723, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_43, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__AB11C0D74FF631D42824FDEC2F244CADF6A908B6, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=1283, Duration=0.061329, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_44, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__CED1D83E3FD3B0CB7BD9AA620DC7BDA967EECCBE, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=771, Duration=0.050087, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_45, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__A72DE74243C3FF2060D178C8A85568CB313921EB, StartTime=2018.08.22-19.14.19, HierarchicalDDC=, DataSize=2785, Duration=0.024602, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_46, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_746AD12DAA4EE9E177E151A20C4C4CA4__1_0_13123_0, StartTime=2018.08.22-19.17.07, HierarchicalDDC=, DataSize=465, Duration=0.734858, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_47, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DE3937A0F54475F45EE9A2A306D7F103__1_0_13123_0, StartTime=2018.08.22-19.17.11, HierarchicalDDC=, DataSize=465, Duration=1.255747, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_48, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4231025298462CBAE8D6CDA6C87C428F__1_0_13123_0, StartTime=2018.08.22-19.17.14, HierarchicalDDC=, DataSize=546, Duration=0.715233, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_49, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_269A03BD9642671DA6EBDA88054B81A8__1_0_13123_0, StartTime=2018.08.22-19.17.14, HierarchicalDDC=, DataSize=470, Duration=0.551734, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_50, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47A93689A74C2C5381CDA2A5FF148BD4__1_0_13123_0, StartTime=2018.08.22-19.17.14, HierarchicalDDC=, DataSize=546, Duration=1.249339, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_51, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E4F6D4C7AF46F4517AEDAEB7AEA39F16__1_0_13123_0, StartTime=2018.08.22-19.17.14, HierarchicalDDC=, DataSize=470, Duration=1.077257, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_12, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_0BA4254B4FDE94D42A2C3E8CE0BFC317_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.17.34, Duration=7.345252, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
